post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,Pig,,R,Ruby,https://www.linkedin.com/jobs2/view/12161056?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A12161056%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/38875068?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A38875068%2CVSRPcmpt%3Aprimary
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/11337179?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A11337179%2CVSRPcmpt%3Aprimary
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/11336442?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A11336442%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,,,Python,https://www.linkedin.com/jobs2/view/25847747?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A25847747%2CVSRPcmpt%3Aprimary
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/12248844?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A12248844%2CVSRPcmpt%3Aprimary
yes,,,STATA,,https://www.linkedin.com/jobs2/view/34726687?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A34726687%2CVSRPcmpt%3Aprimary
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/26929228?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A26929228%2CVSRPcmpt%3Aprimary
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/25885467?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735341387%2CVSRPtargetId%3A25885467%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,,SPSS,,https://www.linkedin.com/jobs2/view/38504114?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A38504114%2CVSRPcmpt%3Aprimary
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/37582384?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A37582384%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/25848936?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A25848936%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/26933093?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A26933093%2CVSRPcmpt%3Aprimary
yes,Hadoop,,R,Python,https://www.linkedin.com/jobs2/view/37206317?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A37206317%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/22238079?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A22238079%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,,Python,https://www.linkedin.com/jobs2/view/11708365?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A11708365%2CVSRPcmpt%3Aprimary
yes,Hadoop,,,,https://www.linkedin.com/jobs2/view/35612512?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A35612512%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/37451681?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A37451681%2CVSRPcmpt%3Aprimary
yes,,,SAS,,https://www.linkedin.com/jobs2/view/38884204?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A38884204%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,SAS,,https://www.linkedin.com/jobs2/view/18764523?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735371259%2CVSRPtargetId%3A18764523%2CVSRPcmpt%3Aprimary
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/16634203?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A16634203%2CVSRPcmpt%3Aprimary
yes,Hadoop,Oracle,,Java/Javascript,https://www.linkedin.com/jobs2/view/14916340?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A14916340%2CVSRPcmpt%3Aprimary
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/38485789?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A38485789%2CVSRPcmpt%3Aprimary
yes,Hadoop,,R,Python,https://www.linkedin.com/jobs2/view/25803087?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A25803087%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,,Ruby,https://www.linkedin.com/jobs2/view/25871039?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A25871039%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/25847733?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A25847733%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/26937576?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A26937576%2CVSRPcmpt%3Aprimary
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/11337585?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A11337585%2CVSRPcmpt%3Aprimary
yes,,,,,https://www.linkedin.com/jobs2/view/38880164?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A38880164%2CVSRPcmpt%3Aprimary
yes,NoSQL,,,,https://www.linkedin.com/jobs2/view/38855507?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A38855507%2CVSRPcmpt%3Aprimary
yes,NoSQL,mySQL,R,Python,https://www.linkedin.com/jobs2/view/18752027?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735567715%2CVSRPtargetId%3A18752027%2CVSRPcmpt%3Aprimary
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/24856236?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A24856236%2CVSRPcmpt%3Aprimary
yes,NoSQL,mySQL,SPSS,Python,https://www.linkedin.com/jobs2/view/37404666?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A37404666%2CVSRPcmpt%3Aprimary
yes,Hadoop,,R,Python,https://www.linkedin.com/jobs2/view/25826120?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A25826120%2CVSRPcmpt%3Aprimary
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/18760496?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A18760496%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/14975958?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A14975958%2CVSRPcmpt%3Aprimary
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/26921348?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A26921348%2CVSRPcmpt%3Aprimary
yes,Hive,,,Python,https://www.linkedin.com/jobs2/view/38167028?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A38167028%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/13736999?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735596968%2CVSRPtargetId%3A13736999%2CVSRPcmpt%3Aprimary
yes,,,R,Python,https://www.linkedin.com/jobs2/view/34650047?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A34650047%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/12108694?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A12108694%2CVSRPcmpt%3Aprimary
yes,Pig,SQL,,Python,https://www.linkedin.com/jobs2/view/38866611?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A38866611%2CVSRPcmpt%3Aprimary
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/18659883?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A18659883%2CVSRPcmpt%3Aprimary
yes,MapReduce/Elastic MapReduce,,SAS,Python,https://www.linkedin.com/jobs2/view/37323921?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A37323921%2CVSRPcmpt%3Aprimary
yes,NoSQL,SQL,SAS,Java/Javascript,https://www.linkedin.com/jobs2/view/17077195?trk=vsrp_jobs_res_name&trkInfo=VSRPsearchId%3A2481085421420735623100%2CVSRPtargetId%3A17077195%2CVSRPcmpt%3Aprimary
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/22933128?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Python,https://www.linkedin.com/jobs2/view/11768741?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/22217747?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/22180134?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12780660?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/14979684?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/24829976?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/14958724?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,SAS,,https://www.linkedin.com/jobs2/view/14960297?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/34078712?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/14916337?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/11166000?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/22236590?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,,SAS,Ruby,https://www.linkedin.com/jobs2/view/24937619?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,,SAS,Python,https://www.linkedin.com/jobs2/view/12349706?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,STATA,,https://www.linkedin.com/jobs2/view/29773162?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,Python,https://www.linkedin.com/jobs2/view/12449972?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,STATA,,https://www.linkedin.com/jobs2/view/25818551?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,Python,https://www.linkedin.com/jobs2/view/37888959?trk=job_view_browse_map&trk=job_view_browse_map
