post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,,,SPSS,Java/Javascript,https://www.linkedin.com/jobs2/view/17199952?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,Python,https://www.linkedin.com/jobs2/view/17198647?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/17200099?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,Java/Javascript,https://www.linkedin.com/jobs2/view/12315020?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/11337179?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/11336442?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SPSS,,https://www.linkedin.com/jobs2/view/24959369?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/24850900?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/25809509?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/18719099?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/14996892?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14998773?trk=job_view_browse_map&trk=job_view_browse_map
yes,,Teradata,SAS,HTML/HTML5,https://www.linkedin.com/jobs2/view/25840204?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/25840106?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/25835710?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,R,Python,https://www.linkedin.com/jobs2/view/11379893?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,STATA,Python,https://www.linkedin.com/jobs2/view/17119164?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,mySQL,STATA,Python,https://www.linkedin.com/jobs2/view/24914274?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/12040271?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/11180054?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/13758183?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,SPSS,,https://www.linkedin.com/jobs2/view/26906900?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,Teradata,R,,https://www.linkedin.com/jobs2/view/13747044?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/11379893?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,mySQL,R,,https://www.linkedin.com/jobs2/view/25883769?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/25870924?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/25851563?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,mySQL,,,https://www.linkedin.com/jobs2/view/38266977?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/14964885?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,,,https://www.linkedin.com/jobs2/view/18743558?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/18743558?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/30878669?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/13775036?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,,https://www.linkedin.com/jobs2/view/13773346?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14901002?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14901002?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/11963154?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/12430637?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,Oracle,SPSS,Python,https://www.linkedin.com/jobs2/view/12436364?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12315042?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/16003195?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,Python,https://www.linkedin.com/jobs2/view/23591316?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/12332790?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/17081945?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/13771869?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/13763449?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,MatLab,Python,https://www.linkedin.com/jobs2/view/18738111?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,MatLab,Python,https://www.linkedin.com/jobs2/view/18738109?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/21105944?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/17994660?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/14916337?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/18721409?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/11755156?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/10317308?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,,,Ruby,https://www.linkedin.com/jobs2/view/14915635?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,R,Python,https://www.linkedin.com/jobs2/view/14933312?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,STATA,Ruby,https://www.linkedin.com/jobs2/view/26926316?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,NoSQL,SQL,R,Python,https://www.linkedin.com/jobs2/view/25894446?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Python,https://www.linkedin.com/jobs2/view/18747049?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,,https://www.linkedin.com/jobs2/view/18747039?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/18741827?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/12599122?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/12508015?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,,Python,https://www.linkedin.com/jobs2/view/13747386?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,Java/Javascript,https://www.linkedin.com/jobs2/view/12358385?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/31127218?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/13769523?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,,https://www.linkedin.com/jobs2/view/19918614?trk=job_view_browse_map&trk=job_view_browse_map
yes,,Teradata,SAS,Python,https://www.linkedin.com/jobs2/view/11351033?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/12427962?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,R,Ruby,https://www.linkedin.com/jobs2/view/21781084?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,,https://www.linkedin.com/jobs2/view/11371224?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11324328?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,STATA,,https://www.linkedin.com/jobs2/view/25834684?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,,https://www.linkedin.com/jobs2/view/25833755?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/10919992?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/18723333?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/18703566?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,R,Python,https://www.linkedin.com/jobs2/view/13745994?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/25871129?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,,https://www.linkedin.com/jobs2/view/25834685?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/25849537?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,Python,https://www.linkedin.com/jobs2/view/16360760?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/18731166?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,Ruby,https://www.linkedin.com/jobs2/view/14939627?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,,,Java/Javascript,https://www.linkedin.com/jobs2/view/14941463?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,,https://www.linkedin.com/jobs2/view/12255593?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/13771668?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/14941445?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,,Python,https://www.linkedin.com/jobs2/view/11752212?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,mySQL,,Python,https://www.linkedin.com/jobs2/view/14915372?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,MapReduce/Elastic MapReduce,Teradata,,Java/Javascript,https://www.linkedin.com/jobs2/view/25871039?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,Teradata,,,https://www.linkedin.com/jobs2/view/25870226?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Python,https://www.linkedin.com/jobs2/view/20663595?trk=job_view_browse_map&trk=job_view_browse_map
yes,,mySQL,,,https://www.linkedin.com/jobs2/view/12452259?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,Python,https://www.linkedin.com/jobs2/view/37166098?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/11355785?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,,https://www.linkedin.com/jobs2/view/14905286?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hive,,,Python,https://www.linkedin.com/jobs2/view/25815134?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,,C/C++/C#/Objective-C,https://www.linkedin.com/jobs2/view/13797824?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/13756271?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/12558918?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,,https://www.linkedin.com/jobs2/view/13913846?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Python,https://www.linkedin.com/jobs2/view/12560446?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/12070837?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/23672181?trk=job_view_browse_map&trk=job_view_browse_map
yes,,mySQL,,Ruby,https://www.linkedin.com/jobs2/view/11732646?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,mySQL,R,,https://www.linkedin.com/jobs2/view/24829780?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,mySQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/12208078?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,Python,https://www.linkedin.com/jobs2/view/22269734?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11330335?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/12546190?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,Teradata,SPSS,,https://www.linkedin.com/jobs2/view/14958007?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/11094284?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/18774889?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Java/Javascript,https://www.linkedin.com/jobs2/view/18701234?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11985478?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SPSS,,https://www.linkedin.com/jobs2/view/12587496?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11091919?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/25802083?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/14997764?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/21884906?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/12231770?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12261319?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12261380?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12260533?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/13794063?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/14934178?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/13735784?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/14937348?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,,https://www.linkedin.com/jobs2/view/14937348?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14959149?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/13797436?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SAS,,https://www.linkedin.com/jobs2/view/13771584?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/18711832?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/18739904?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/10920602?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/12299585?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/13798709?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/24348935?trk=job_view_browse_map&trk=job_view_browse_map
yes,,Teradata,SAS,,https://www.linkedin.com/jobs2/view/13796278?trk=job_view_browse_map&trk=job_view_browse_map
yes,,mySQL,,,https://www.linkedin.com/jobs2/view/26926848?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,Teradata,,Python,https://www.linkedin.com/jobs2/view/26928339?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/26911013?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/18743558?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,,,https://www.linkedin.com/jobs2/view/26973925?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hive,mySQL,SAS,,https://www.linkedin.com/jobs2/view/19229106?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,MapReduce/Elastic MapReduce,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/14920593?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,SQL,,Python,https://www.linkedin.com/jobs2/view/19119300?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,mySQL,R,Python,https://www.linkedin.com/jobs2/view/18379716?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/30878669?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Pig,SQL,R,Ruby,https://www.linkedin.com/jobs2/view/11330082?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,,,,https://www.linkedin.com/jobs2/view/25871572?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,,,https://www.linkedin.com/jobs2/view/12254294?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,MapReduce/Elastic MapReduce,,R,,https://www.linkedin.com/jobs2/view/12180527?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12260468?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12261428?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/12261398?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,,,https://www.linkedin.com/jobs2/view/18718345?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/18763434?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14947159?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14969554?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14946854?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14970326?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/12254294?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/12262013?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14901002?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/25851563?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,Hive,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/26905468?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/26900269?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,mySQL,SAS,Python,https://www.linkedin.com/jobs2/view/12556468?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/25884513?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,,Python,https://www.linkedin.com/jobs2/view/12355479?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,,https://www.linkedin.com/jobs2/view/12009165?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/14977080?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/18734006?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Perl,https://www.linkedin.com/jobs2/view/14972006?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,,,https://www.linkedin.com/jobs2/view/18734005?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/25877075?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,NoSQL,SQL,,Python,https://www.linkedin.com/jobs2/view/13715592?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,R,Python,https://www.linkedin.com/jobs2/view/12295802?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/18725290?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/12445392?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Ruby,https://www.linkedin.com/jobs2/view/12335405?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12335406?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/12335404?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/19031638?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,STATA,Python,https://www.linkedin.com/jobs2/view/12334521?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,,https://www.linkedin.com/jobs2/view/14962407?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,NoSQL,,,,https://www.linkedin.com/jobs2/view/14964884?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,mySQL,R,Python,https://www.linkedin.com/jobs2/view/18750141?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/14994656?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,Teradata,SAS,Python,https://www.linkedin.com/jobs2/view/12584606?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/13529837?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/22717740?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/22717731?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,Teradata,R,,https://www.linkedin.com/jobs2/view/18471549?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,HTML/HTML5,https://www.linkedin.com/jobs2/view/19342044?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/11393852?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/11710871?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/14917573?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SPSS,,https://www.linkedin.com/jobs2/view/14959677?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/13749426?trk=job_view_browse_map&trk=job_view_browse_map
yes,NoSQL,,,Ruby,https://www.linkedin.com/jobs2/view/11348858?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,,R,Python,https://www.linkedin.com/jobs2/view/38267683?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/25856088?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,,https://www.linkedin.com/jobs2/view/38266341?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,MatLab,Python,https://www.linkedin.com/jobs2/view/38149615?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,MatLab,Python,https://www.linkedin.com/jobs2/view/38257753?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12543356?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/22630924?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/13789752?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14913458?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/14911876?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,Java/Javascript,https://www.linkedin.com/jobs2/view/13774417?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/25864226?trk=job_view_browse_map&trk=job_view_browse_map
yes,,mySQL,,Python,https://www.linkedin.com/jobs2/view/25877071?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/25871083?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Python,https://www.linkedin.com/jobs2/view/25874993?trk=job_view_browse_map&trk=job_view_browse_map
yes,,Teradata,,,https://www.linkedin.com/jobs2/view/25800203?trk=job_view_browse_map&trk=job_view_browse_map
yes,,Teradata,,,https://www.linkedin.com/jobs2/view/25801150?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/18715776?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/12084082?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/11370144?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,,https://www.linkedin.com/jobs2/view/32113680?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,,https://www.linkedin.com/jobs2/view/25847579?trk=job_view_browse_map&trk=job_view_browse_map
